sno,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score,trending_score
279,http://flipkart.com/sassafras-solid-women-straight-white-skirt/p/itmf6thhxkayybxt?pid=SKIF6T96GHUZM5JE&lid=LSTSKIF6T96GHUZM5JEWLVNSO&marketplace=FLIPKART&srno=b_9_343&otracker=browse&fm=organic&iid=91ef40ff-132f-4653-be2a-93ab885360c3.SKIF6T96GHUZM5JE.SEARCH&ssid=bj19vqaxi80000001596818402499,279,Women Solid Straight White Skirt,3.9,2614,425,amazing product must buy mast love it its lovely skirt just love it,2.4456,0.181950311,828.6681950311
39,http://flipkart.com/sassafras-solid-women-straight-dark-blue-skirt/p/itmf5z3kkgbgv7zv?pid=SKIF5NVB3SMMJ9AU&lid=LSTSKIF5NVB3SMMJ9AUOS1I2L&marketplace=FLIPKART&srno=b_2_41&otracker=browse&fm=organic&iid=77f31442-d229-4824-9f9d-492ef6863486.SKIF5NVB3SMMJ9AU.SEARCH&ssid=7zslxko4e80000001596818394714,39,Women Solid Straight Dark Blue Skirt,3.9,2614,425,amazing product must buy mast love it its lovely skirt just love it,2.4456,0.181950311,828.6681950311
125,http://flipkart.com/tannura-fashion-solid-women-pencil-beige-skirt/p/itm1554cdd52e5aa?pid=SKIFBNAFS8H8B3YA&lid=LSTSKIFBNAFS8H8B3YA46QMXU&marketplace=FLIPKART&srno=b_4_138&otracker=browse&fm=organic&iid=41e6a816-9f54-433d-b769-a2fff1f34e8d.SKIFBNAFS8H8B3YA.SEARCH&ssid=3walip6wv40000001596818396764,125,Women Solid Pencil Beige Skirt,4.2,2406,361,its nice 😯❤️❤️❤️ i love it awesome product best,2.3202,0.167096184,760.0167096184
80,http://flipkart.com/crease-clips-solid-women-broomstick-red-gold-skirt/p/itmfbb2yhp5ybjn3?pid=SKIEHGA77TEFH2KT&lid=LSTSKIEHGA77TEFH2KTQHHBCC&marketplace=FLIPKART&srno=b_3_82&otracker=browse&fm=organic&iid=2f5ee70e-a932-4d00-8d58-439383054c19.SKIEHGA77TEFH2KT.SEARCH&ssid=szw5q6ijb40000001596818395778,80,"Women Solid Broomstick Red, Gold Skirt",3.7,2362,386,full satisfaction quality is good looking very nice good quality love it good,2.82,0.169569249,749.0669569249001
41,http://flipkart.com/crease-clips-solid-women-broomstick-gold-blue-skirt/p/itmfbb2ygpavyjr2?pid=SKIEHG9R5AZ58VXN&lid=LSTSKIEHG9R5AZ58VXNOPAIYC&marketplace=FLIPKART&srno=b_2_43&otracker=browse&fm=organic&iid=77f31442-d229-4824-9f9d-492ef6863486.SKIEHG9R5AZ58VXN.SEARCH&ssid=7zslxko4e80000001596818394714,41,"Women Solid Broomstick Gold, Blue Skirt",3.7,2362,386,full satisfaction quality is good looking very nice good quality love it good,2.82,0.169569249,749.0669569249001
122,http://flipkart.com/crease-clips-solid-women-broomstick-gold-black-skirt/p/itmfbb2yufq92zhc?pid=SKIEHG9RW7YXVGDQ&lid=LSTSKIEHG9RW7YXVGDQHNZXVW&marketplace=FLIPKART&srno=b_4_135&otracker=browse&fm=organic&iid=41e6a816-9f54-433d-b769-a2fff1f34e8d.SKIEHG9RW7YXVGDQ.SEARCH&ssid=3walip6wv40000001596818396764,122,"Women Solid Broomstick Gold, Black Skirt",3.7,2362,386,full satisfaction quality is good looking very nice good quality love it good,2.82,0.169569249,749.0669569249001
35,http://flipkart.com/rigo-solid-women-regular-black-skirt/p/itmf3y4grpwyrnb7?pid=SKIEVAN7GXDDGQGN&lid=LSTSKIEVAN7GXDDGQGNW8KXOO&marketplace=FLIPKART&srno=b_1_37&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIEVAN7GXDDGQGN.SEARCH&ssid=ux2dgig0m80000001596818393673,35,Women Solid Regular Black Skirt,3.9,1976,267,without a doubt go for it👍 really awesome skirt and material too must buy product high quality product v beautiful awesome collection go gor it,1.488,0.110814259,621.4610814259
40,http://flipkart.com/n-gal-solid-women-flared-black-skirt/p/itmd3262d60ed87b?pid=SKIF97FG9XK4PWMN&lid=LSTSKIF97FG9XK4PWMNVLTWGZ&marketplace=FLIPKART&srno=b_2_42&otracker=browse&fm=organic&iid=77f31442-d229-4824-9f9d-492ef6863486.SKIF97FG9XK4PWMN.SEARCH&ssid=7zslxko4e80000001596818394714,40,Women Solid Flared Black Skirt,4.2,1916,221,go for it🥳🥳🥳🥳 awesome product must buy good quality it looks cute 🥰❤️,1.5241,0.110344612,599.0110344612
95,http://flipkart.com/n-gal-solid-women-flared-red-skirt/p/itmedc6a27ac4bef?pid=SKIF97FGPYFA5MDA&lid=LSTSKIF97FGPYFA5MDAGOZ2FD&marketplace=FLIPKART&srno=b_3_102&otracker=browse&fm=organic&iid=2f5ee70e-a932-4d00-8d58-439383054c19.SKIF97FGPYFA5MDA.SEARCH&ssid=szw5q6ijb40000001596818395778,95,Women Solid Flared Red Skirt,4.2,1916,221,go for it🥳🥳🥳🥳 awesome product must buy good quality it looks cute 🥰❤️,1.5241,0.110344612,599.0110344612
219,http://flipkart.com/n-gal-solid-women-flared-yellow-skirt/p/itm654e8b90c21a2?pid=SKIFM47FXFX49NYZ&lid=LSTSKIFM47FXFX49NYZC6PTB3&marketplace=FLIPKART&srno=b_7_261&otracker=browse&fm=organic&iid=b5075136-4b08-4064-bf5a-4ef0d570aee0.SKIFM47FXFX49NYZ.SEARCH&ssid=sysb2gezgg0000001596818400075,219,Women Solid Flared Yellow Skirt,4.2,1916,221,go for it🥳🥳🥳🥳 awesome product must buy good quality it looks cute 🥰❤️,1.5241,0.110344612,599.0110344612
